target_x,target_y,target_z,feedback_x,feedback_y,feedback_z
608.312,252.699,1000,658.14,276.087,999.134
607.05,251.888,1000,656.312,275.337,999.13
605.793,251.07,1000,655.401,274.957,999.128
604.539,250.245,1000,654.491,274.575,999.126
603.29,249.415,1000,652.674,273.8,999.122
602.045,248.578,1000,651.768,273.408,999.12
600.804,247.735,1000,649.96,272.616,999.116
599.568,246.886,1000,649.057,272.215,999.115
598.336,246.031,1000,648.156,271.811,999.113
597.108,245.17,1000,646.359,270.994,999.109
595.884,244.302,1000,645.462,270.581,999.107
594.665,243.429,1000,644.567,270.165,999.105
593.45,242.549,1000,642.781,269.323,999.101
592.239,241.663,1000,641.891,268.898,999.099
591.033,240.771,1000,641.001,268.47,999.097
589.831,239.873,1000,639.227,267.605,999.093
588.634,238.97,1000,638.342,267.167,999.092
587.442,238.06,1000,636.578,266.284,999.088
586.254,237.144,1000,635.697,265.838,999.086
585.07,236.222,1000,634.819,265.388,999.084
583.892,235.295,1000,633.066,264.481,999.08
582.717,234.361,1000,632.192,264.023,999.078
581.548,233.422,1000,631.32,263.562,999.077
580.383,232.477,1000,629.58,262.631,999.073
579.223,231.526,1000,628.713,262.161,999.071
578.068,230.569,1000,627.847,261.688,999.069
576.917,229.606,1000,626.12,260.733,999.065
575.772,228.638,1000,625.259,260.252,999.063
574.631,227.664,1000,624.4,259.768,999.062
573.495,226.685,1000,622.686,258.79,999.058
572.364,225.699,1000,621.832,258.297,999.056
571.238,224.708,1000,620.98,257.801,999.054
570.117,223.712,1000,619.28,256.801,999.051
569.001,222.709,1000,618.433,256.296,999.049
567.89,221.702,1000,617.587,255.788,999.047
566.784,220.688,1000,616.743,255.278,999.045
565.683,219.669,1000,615.061,254.249,999.042
564.587,218.645,1000,614.223,253.73,999.04
563.497,217.615,1000,613.386,253.208,999.038
562.411,216.58,1000,611.719,252.156,999.035
561.331,215.539,1000,610.888,251.626,999.033
560.256,214.493,1000,610.059,251.093,999.031
559.186,213.442,1000,608.406,250.018,999.028
558.122,212.385,1000,607.582,249.477,999.026
557.062,211.323,1000,606.761,248.932,999.025
556.008,210.256,1000,605.941,248.385,999.023
554.96,209.183,1000,604.308,247.282,999.019
553.916,208.106,1000,603.494,246.727,999.017
552.879,207.022,1000,602.682,246.168,999.016
551.846,205.934,1000,601.065,245.043,999.012
550.819,204.841,1000,600.259,244.476,999.01
549.798,203.743,1000,599.455,243.907,999.009
548.782,202.639,1000,598.653,243.334,999.007
547.771,201.53,1000,597.055,242.182,999.004
546.767,200.417,1000,596.26,241.601,999.002
545.767,199.298,1000,595.466,241.018,999
544.774,198.174,1000,594.674,240.432,998.999
543.786,197.046,1000,593.097,239.252,998.995
542.803,195.912,1000,592.312,238.658,998.994
541.826,194.774,1000,591.529,238.061,998.992
540.855,193.63,1000,590.747,237.462,998.991
